ObservationURI,ObservationName,SpecimenLabel,SpecimenURI,GeologicUnitName,FeatureOfInterestURI,LithologyTerm,RockName,SamplingFeatureURI,SamplingFeatureName,SampleCollectionDate,LocalityTerms,TectonicProvince,County,State,PLSS_Meridians,"Township",Range,Section_,SectionPart,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,ElevationDatum_m,SampleDepth_m,SampleMeasurementDate,SampleType,SampleMass_kg,OverburdenThickness_m,SampleDensity_g-cc,UncertainDensity,Laboratory,LaboratoryURI,RadioactivityMeasurementDevice,MeasurementProcedure,SampleCureDuration,MeasurementCount,Uranium,Thorium,Potassium,HeatProduction_mWm3,HeatProductionUncertainty,Notes,MetadataURI,Source
KIB-6 42-43.4,KIB-6 42-43.4,KIB-6 42-43.4,,Coon Lake Pluton,,,Syenite,,,,,Interior Lowlands,,MN,,61N,25W,36,CAA,47.73,-93.48,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.35,4.10,3.49,0.71,,,,
LF-5 128-131,LF-5 128-131,LF-5 128-131,,Linden Pluton,,,Chloritized Granodiorite,,,,,Interior Lowlands,,MN,,62N,21W,9,BAB,47.87,-93.02,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.52,4.00,3.65,0.76,,,,
WMP-1,WMP-1,WMP-1,,,,,Schistose Diorite,Outcrop,,,,Interior Lowlands,,MN,,162N,44W,33,BAB,47.95,-92.66,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.28,4.00,1.09,0.72,,,,
SQ-13 220-225,SQ-13 220-225,SQ-13 220-225,,Jeffers Block,,,Foliated Hornblende Granite,Core,,,,Interior Lowlands,,MN,,108N,34W,32,BBA,44.06,-94.77,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.60,3.97,2.95,0.72,,,,
1985-8 179.5-180.5,1985-8 179.5-180.5,1985-8 179.5-180.5,,Unnamed,,,Biotite Hornblende Granodiorite,,,,,Interior Lowlands,Douglas,MN,,129N,37W,1,ADD,46.02,-95.28,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.82,3.91,1.13,0.60,0.016 per ?W m-3,,,
LL-1-81-8 586-588.5,LL-1-81-8 586-588.5,LL-1-81-8 586-588.5,,Rockville Granite,,,Diorite,,,,,Interior Lowlands,,MN,,119N,32W,15,BBC,45.11,-94.68,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.59,3.90,0.53,0.48,,,,
CD-13 104-106,CD-13 104-106,CD-13 104-106,,,,,Syenite,,,,,Interior Lowlands,,MN,,62N,19W,24,ACA,47.84398072,-92.7039165,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.60,3.87,6.65,1.06,0.016 per ?W m-3,,,
GRG-2,GRG-2,GRG-2,,Shannon Lake Granite of GRB,,,Medium to Coarse Grained Pink Granite,,,,,Interior Lowlands,,MN,,60N,18W,8,ABB,47.7,-92.65,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,6.21,3.81,0.43,1.93,,,,
KIB-79 252-253.5,KIB-79 252-253.5,KIB-79 252-253.5,,Decker Lake Pluton,,,Hornblende Monzodiorite,,,,,Interior Lowlands,,MN,,149N,30W,28,DDA,47.7,-94.5,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.24,3.81,2.94,0.61,,,,
KEX 05L022 1186.6-1188.6,KEX 05L022 1186.6-1188.6,KEX 05L022 1186.6-1188.6,,Tamarack Intrusion,,,Tamarack int = Monzogabbro,,,,,Interior Lowlands,,MN,,47N,21W,6,BCC,46.58,-93.04,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.22,3.75,0.71,0.39,,,,
201,201,201,,,,,Granodiorite,,,,,Interior Lowlands,,MN,,39N,27W,23,DCD,46.005669,-93.68430674,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.56,3.65,1.79,0.84,0.016 per ?W m-3,,,
G10-011,G10-011,G10-011,,Richmond Charnokitic Granite,,,Charnokitic Granite (orthopyroxene-bearing),,,,,Interior Lowlands,,MN,,123N,30W,22,ACB,45.45,-94.43,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.24,3.63,3.01,0.60,,,,
118,118,118,,,,,Syenite,,,,,Interior Lowlands,,MN,,63N,21W,35,BCC,47.89463029,-92.9876651,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.45,3.58,5.51,0.89,0.016 per ?W m-3,,,
VM-4a,VM-4a,VM-4a,,,,,Amphibolite,Outcrop,,,,Interior Lowlands,,MN,,67N,17W,35,BBA,48.24,-92.48,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.71,3.54,1.25,0.82,,,,
EC-35 205.5-206.5,EC-35 205.5-206.5,EC-35 205.5-206.5,,Reformatory Granite,,,Granodiorite,,,,,Interior Lowlands,Sherburne,MN,,34N,30W,12,BAD,45.45,-94.01,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.41,3.53,1.22,0.99,0.016 per ?W m-3,,,
P-11 138-139,P-11 138-139,P-11 138-139,,Unnamed,,,Hornblende Biotite Gneiss,,,,,Interior Lowlands,,MN,,42N,29W,10,AAB,46.14,-93.98,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.33,3.52,1.21,0.45,,,,
SQ-4 653-658,SQ-4 653-658,SQ-4 653-658,,Unnamed,,,Granitic Gneiss,Core,,,,Interior Lowlands,,MN,,105N,43W,34,BCB,43.82,-95.19,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.00,3.33,0.94,0.33,,,,
NW-2 302-304,NW-2 302-304,NW-2 302-304,,Unnamed,,,Granite,,,,,Interior Lowlands,,MN,,163N,42W,8,CBB,48.95,-96.11,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.25,3.30,3.47,0.63,,,,
EC-34 144-145,EC-34 144-145,EC-34 144-145,,Granite (in Archean Gneiss),,,Granite,,,,,Interior Lowlands,Sherburne,MN,,34N,29W,15,ACA,45.44,-93.93,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.80,3.29,2.22,0.63,0.016 per ?W m-3,,,
YGH-1 540-542,YGH-1 540-542,YGH-1 540-542,,,,,Diorite,Core,,,,Interior Lowlands,,MN,,162N,44W,35,CAC,48.81,-96.34,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.43,3.24,0.91,0.43,,,,
104 B1,104 B1,104B1,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,60N,18W,9,BAA,47.70021615,-92.63186386,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,7.67,3.22,1.07,2.33,0.016 per ?W m-3,,,
KEX 05L022 563-565,KEX 05L022 563-565,KEX 05L022 563-565,,Tamarack Intrusion,,,Thomson Fm = greywacke w/mudstone,,,,,Interior Lowlands,,MN,,47N,21W,6,BCC,46.58,-93.04,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.96,3.20,0.41,0.52,,,,
LV-14 264-265.5,LV-14 264-265.5,LV-14 264-265.5,,Unnamed,,,Biotite Hornblende Tonalite,,,,,Interior Lowlands,,MN,,129N,36W,22,DBB,45.97,-95.2,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.82,3.19,1.52,0.58,,,,
RP-1,RP-1,RP-1,,Unnamed,,,Granodiorite,Outcrop,,,,Interior Lowlands,,MN,,131N,46W,6,ACB,48.9,-95.08,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.32,3.18,0.82,0.39,,,,
108,108,108,,,,,Syenite,,,,,Interior Lowlands,,MN,,62N,25W,34,BCB,47.81400611,-93.51598158,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.04,3.17,0.66,0.56,0.016 per ?W m-3,,,
EC-26 124.5-125.5,EC-26 124.5-125.5,EC-26 124.5-125.5,,Glendorado Pluton,,,Granite,,,,,Interior Lowlands,Benton,MN,,36N,28W,36,CBB,45.56,-93.77,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.32,3.15,3.10,1.08,0.016 per ?W m-3,,,
110,110,110,,,,,Syenite,,,,,Interior Lowlands,,MN,,61N,17W,1,DDB,47.79859325,-92.45670229,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.48,3.10,1.11,0.71,0.016 per ?W m-3,,,
208,208,208,,,,,Charnockite,,,,,Interior Lowlands,,MN,,121N,30W,10,ABD,45.45183729,-94.43234851,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.86,3.01,2.02,0.63,0.016 per ?W m-3,,,
Kab-3,Kab-3,Kab-3,,,,,Granite,,,,,Interior Lowlands,,MN,,66N,17W,3,CDC,48.22577324,-92.5175264,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.42,2.95,2.51,0.56,0.016 per ?W m-3,,,
MN MORT 1,MN MORT 1,MN MORT 1,,Unnamed,,,Gneissic,,,,,Interior Lowlands,,MN,,113N,34W,31,ACC,44.55,-94.98,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.78,2.83,3.72,1.02,,,,
NW-1 201-202,NW-1 201-202,NW-1 201-202,,Roseau River Batholith,,,Gneissic Tonalite,,,,,Interior Lowlands,,MN,,132N,41W,14,DDC,48.86,-95.92,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.75,2.83,2.32,0.62,,,,
G10-016,G10-016,G10-016,,McGrath Gneiss,,,Biotite Gneiss,,,,,Interior Lowlands,,MN,,43N,24W,12,AAD,46.23,-93.31,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.35,2.75,3.15,0.58,,,,
Star-1 567-570.5,Star-1 567-570.5,Star-1 567-570.5,,Grygla Pluton,,,Foliated Hornblende Monzonite,Core,,,,Interior Lowlands,,MN,,61N,20W,12,BAC,48.28,-95.95,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.86,2.73,0.80,0.49,,,,
NW-23 531-532.5,NW-23 531-532.5,NW-23 531-532.5,,Red Lake Falls Pluton,,,Granodiorite,,,,,Interior Lowlands,,MN,,151N,45W,28,ABB,47.87,-96.42,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.11,2.70,0.79,0.30,,,,
ISITSW-1,ISITSW-1,ISITSW-1,,,,,Syenite,,,,,Interior Lowlands,,MN,,62N,18W,3,BCB,47.87619365,-92.61648306,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.02,2.69,1.13,0.56,0.016 per ?W m-3,,,
1985-9 303.5-305,1985-9 303.5-305,1985-9 303.5-305,,Unnamed,,,Gneissic Biotite Hornblende Tonalite,,,,,Interior Lowlands,Douglas,MN,,129N,36W,33,BAA,45.94,-95.21,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.25,2.65,0.97,0.35,0.016 per ?W m-3,,,
CC-22 223-224.2,CC-22 223-224.2,CC-22 223-224.2,,Unnamed,,,Diorite,,,,,Interior Lowlands,Todd,MN,,132N,34W,30,AAB,46.22,-95,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.76,2.64,1.27,0.51,0.016 per ?W m-3,,,
BR-4 185-192,BR-4 185-192,BR-4 185-192,,Unnamed,,,Quartz Diorite,,,,,Interior Lowlands,Koochiching,MN,,63N,27W,10,AAC,47.97,-93.77,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.43,2.60,0.66,0.36,0.016 per ?W m-3,,,
GRG-3,GRG-3,GRG-3,,Shannon Lake Granite of GRB,,,Weakly Foliated Granodiorite,,,,,Interior Lowlands,,MN,,60N,18W,8,ABB,47.7,-92.65,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.82,2.57,2.05,0.59,,,,
117,117,117,,,,,Granodiorite,,,,,Interior Lowlands,,MN,,68N,19W,20,ACC,48.3617884,-92.81117133,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.79,2.47,1.58,0.53,0.016 per ?W m-3,,,
LV-1 362-363,LV-1 362-363,LV-1 362-363,,,,,Granite,,,,,Interior Lowlands,,MN,,139N,29W,1,DAD,46.89071716,-94.29318667,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.61,2.43,1.01,0.43,0.016 per ?W m-3,,,
G10-009,G10-009,G10-009,,St. Cloud Granite,,,"Biotite-Biotite Granite ""Old Gray""",,,,,Interior Lowlands,,MN,,124N,28W,18,BAB,45.55,-94.24,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.31,2.42,2.01,0.70,,,,
119,119,119,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,60N,22W,10,AAC,47.70322819,-93.11012723,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.74,2.38,2.02,0.55,0.016 per ?W m-3,,,
VM-10,VM-10,VM-10,,,,,Pink Granite,Outcrop,,,,Interior Lowlands,,MN,,69N,21W,29,AAB,48.39,-92.92,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.69,2.37,2.96,0.63,,,,
1986-16 307.5-308.5,1986-16 307.5-308.5,1986-16 307.5-308.5,,Baudette Intrusion,,,Gneissic Tonalite,,,,,Interior Lowlands,Lake of the Woods,MN,,160N,33W,31,CCD,48.63,-94.95,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.22,2.37,0.87,0.31,0.016 per ?W m-3,,,
VM-2,VM-2,VM-2,,,,,Granitic Migmatite,Outcrop,,,,Interior Lowlands,,MN,,64N,21W,12,CAB,48,-92.83,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.27,2.34,2.92,0.51,,,,
HS-1-88 494.5-495.5,HS-1-88 494.5-495.5,HS-1-88 494.5-495.5,,Unnamed,,,Pegmatitic Granite,,,,,Interior Lowlands,,MN,,134N,38W,10,AAA,46.44,-95.45,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,2.27,2.31,3.31,1.07,,,,
PL-1 389-400,PL-1 389-400,PL-1 389-400,,Roseau River Batholith,,,Monzodiorite,,,,,Interior Lowlands,,MN,,163N,45W,9,ACA,48.96,-96.48,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.48,2.25,1.26,0.40,,,,
SK-1 1098-1101,SK-1 1098-1101,SK-1 1098-1101,,Rockville Granite,,,Diorite,Core,,,,Interior Lowlands,,MN,,109N,31W,18,CBB,43.79,-95.84,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.25,2.24,0.55,0.28,,,,
J-1 470-472,J-1 470-472,J-1 470-472,,Roseau River Batholith,,,Gneissic Tonalite,,,,,Interior Lowlands,,MN,,162N,40W,1,DAA,48.89,-95.76,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.22,2.23,1.23,0.59,,,,
PL-3 171-173,PL-3 171-173,PL-3 171-173,,Grygla Pluton,,,Coarse Grained Hornblende Granite,,,,,Interior Lowlands,,MN,,155N,39W,27,BBC,48.21,-95.64,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.67,2.21,1.37,0.46,,,,
NW-11 320.321.5,NW-11 320.321.5,NW-11 320.321.5,,Unnamed,,,Tonalite,,,,,Interior Lowlands,,MN,,156N,44W,27,CCB,48.3,-96.3,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.54,2.21,1.30,0.42,,,,
GRG-1,GRG-1,GRG-1,,Giants Range Batholith,,,Foliated Granite,,,,,Interior Lowlands,,MN,,59N,17W,20,CDC,47.58,-92.54,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.14,2.19,0.79,0.27,,,,
SQ-11 677-681,SQ-11 677-681,SQ-11 677-681,,Unnamed,,,Granitic Gneiss,Core,,,,Interior Lowlands,,MN,,107N,33W,23,DBB,43.92,-95.34,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.38,2.12,2.86,0.52,,,,
NW-19 396.5-398,NW-19 396.5-398,NW-19 396.5-398,,Unnamed,,,Granodiorite,,,,,Interior Lowlands,,MN,,152N,44W,9,ABB,48,-96.29,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.73,2.12,1.77,0.51,,,,
HM-2,HM-2,HM-2,,,,,Granite,,,,,Interior Lowlands,,MN,,39N,29W,32,ADB,45.98066583,-93.98074915,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.65,2.10,2.21,0.53,0.016 per ?W m-3,,,
NW-4B 344-345,NW-4B 344-345,NW-4B 344-345,,Unnamed,,,Granodiorite,,,,,Interior Lowlands,,MN,,161N,45W,9,CDC,48.78,-96.49,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.56,2.10,1.82,0.47,,,,
EC-1 158-159.2,EC-1 158-159.2,EC-1 158-159.2,,Watab Quartz Diorite,,,Biotite Hornblende Diorite,,,,,Interior Lowlands,Benton,MN,,38N,30W,31,ADD,45.75,-94.12,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.60,2.10,0.80,0.38,0.016 per ?W m-3,,,
A25 B,A25 B,125B,,,,,Monzonite,,,,,Interior Lowlands,,MN,,62N,12W,36,AAA,47.81642711,-91.80042837,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.42,2.09,1.69,0.42,0.016 per ?W m-3,,,
102,102,102,,,,,Syenite,,,,,Interior Lowlands,St Louis,MN,,61N,18W,28,ADD,47.7444328,-92.64109024,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,5.46,2.07,2.87,1.84,0.016 per ?W m-3,,,
PLC-1 93-95,PLC-1 93-95,PLC-1 93-95,,Vermillion Massif,,,Weakly Foliated Granite,,,,,Interior Lowlands,,MN,,67N,21W,16,ADD,48.3,-93.04,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,3.76,2.06,2.89,1.40,,,,
MEX-0153 2217-2217.8,MEX-0153 2217-2217.8,MEX-0153 2217-2217.8,,Giants Range Batholith,,,Giants Range Batholith,,,,,Interior Lowlands,,MN,,62N,11W,33,BAC,47.81,-91.73,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.23,2.06,2.26,0.42,,,,
G10-008,G10-008,G10-008,,Morton Gneiss,,,Biotite-Biotite Gneiss,,,,,Interior Lowlands,,MN,,113N,34W,31,DBC,44.55,-94.99,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.20,2.05,0.88,0.54,,,,
G10-006,G10-006,G10-006,,Morton Gneiss,,,Pegmatitic phase of Morton Gneiss,,,,,Interior Lowlands,,MN,,114N,36W,19,DBB,44.66,-95.23,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.78,2.03,0.79,0.42,,,,
123,123,123,,,,,Granodiorite,,,,,Interior Lowlands,,MN,,63N,18W,25,CBA,47.90640539,-92.58006303,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.61,2.03,0.99,0.40,0.016 per ?W m-3,,,
CB-14 400-404,CB-14 400-404,CB-14 400-404,,Unnamed,,,Quartz Monzodiorite,,,,,Interior Lowlands,Itasca,MN,,150N,29W,12,CBA,47.82,-94.3,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.13,2.01,1.05,0.27,0.016 per ?W m-3,,,
G10-005,G10-005,G10-005,,Morton Gneiss,,,Biotite-Biotite Gneiss with Amphibolite pods,,,,,Interior Lowlands,,MN,,114N,37W,20,BBB,44.66,-95.32,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.72,1.97,0.56,0.38,,,,
CD-7 79-81,CD-7 79-81,CD-7 79-81,,Morcom Pluton,,,Monzonite,,,,,Interior Lowlands,St. Louis,MN,,61N,21W,16,BAA,47.77,-93.02,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.55,1.96,2.47,0.50,0.016 per ?W m-3,,,
KEX 05L022 1093.5-1095.5,KEX 05L022 1093.5-1095.5,KEX 05L022 1093.5-1095.5,,Tamarack Intrusion,,,Tamarack int = gabbro,,,,,Interior Lowlands,,MN,,47N,21W,6,BCC,46.58,-93.04,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.52,1.95,0.60,0.33,,,,
1986-11 287-288,1986-11 287-288,1986-11 287-288,,Baudette Intrusion,,,Porphoryritc Syenite,,,,,Interior Lowlands,Lake of the Woods,MN,,159N,31W,8,AAB,48.61,-94.65,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.39,1.93,4.55,0.64,0.016 per ?W m-3,,,
1985-9 295-296,1985-9 295-296,1985-9 295-296,,,,,Monzonite,,,,,Interior Lowlands,,MN,,129N,36W,33,BBA,45.93651475,-95.20907605,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.76,1.83,1.20,0.44,0.016 per ?W m-3,,,
CD-12 53-54.5,CD-12 53-54.5,CD-12 53-54.5,,,,,Leucogranite,,,,,Interior Lowlands,,MN,,60N,20W,3,BBB,47.70427743,-92.84750897,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.42,1.82,2.57,0.74,0.016 per ?W m-3,,,
Kab-4,Kab-4,Kab-4,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,66N,17W,3,CAC,48.22577928,-92.51468533,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.50,1.76,1.55,1.18,0.016 per ?W m-3,,,
125 A,125 A,125A,,,,,Monzonite,,,,,Interior Lowlands,,MN,,62N,11W,32,DDC,47.81688117,-91.76771576,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.70,1.67,2.21,0.51,0.016 per ?W m-3,,,
KIB-51 279-280,KIB-51 279-280,KIB-51 279-280,,Unnamed,,,Hornblende Quartz Diorite,,,,,Interior Lowlands,,MN,,148N,27W,2,CBB,47.66,-94.07,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.47,1.65,0.41,0.28,,,,
ART-1,ART-1,ART-1,,,,,Granite,,,,,Interior Lowlands,,MN,,68N,20W,14,BAA,48.37548351,-92.85631832,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.38,1.64,2.06,0.41,0.016 per ?W m-3,,,
ID-1,ID-1,ID-1,,Iddington Pluton,,,Monzodiorite,,,,,Interior Lowlands,,MN,,60N,18W,9,ABD,47.7,-92.63,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.14,1.62,2.76,0.67,,,,
MEX-0102 3580-3580.8,MEX-0102 3580-3580.8,MEX-0102 3580-3580.8,,Giants Range Batholith,,,Giants Range Batholith,,,,,Interior Lowlands,,MN,,61N,11W,4,DBC,47.8,-91.74,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.20,1.60,1.56,0.30,,,,
1985-5 262.5-263.5,1985-5 262.5-263.5,1985-5 262.5-263.5,,Unnamed,,,Metamorphosed Hornblende Tonalite/Diorite,,,,,Interior Lowlands,Todd,MN,,131N,35W,3,BCB,46.18,-95.07,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.35,1.55,0.95,0.29,0.016 per ?W m-3,,,
BB-8 221-227,BB-8 221-227,BB-8 221-227,,Unnamed,,,Foliated Monzonite,,,,,Interior Lowlands,Koochiching,MN,,151n,28w,2,BBB,47.92,-94.19,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.37,1.54,0.78,0.27,0.016 per ?W m-3,,,
NB-81-1 724-726,NB-81-1 724-726,NB-81-1 724-726,,Rockville Granite,,,Granodiorite,,,,,Interior Lowlands,,MN,,119N,29W,29,DBA,45.09,-94.35,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.45,1.54,0.26,0.25,,,,
116 A2,116 A2,116A2,,,,,Granodiorite,,,,,Interior Lowlands,,MN,,68N,19W,21,ADB,48.36591,-92.78612451,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.33,1.48,0.86,0.53,0.016 per ?W m-3,,,
BB-6 208-210,BB-6 208-210,BB-6 208-210,,Unnamed,,,Granodiorite,,,,,Interior Lowlands,Koochiching,MN,,152N,28W,36,CAA,47.94,-94.18,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.14,1.47,0.74,0.21,0.016 per ?W m-3,,,
122 A,122 A,122A,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,68N,19W,18,ABB,48.37847183,-92.82489795,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.94,1.37,1.11,0.45,0.016 per ?W m-3,,,
NW-7 400.5-401.25,NW-7 400.5-401.25,NW-7 400.5-401.25,,Unnamed,,,Pegmatite in Granodiorite,,,,,Interior Lowlands,,MN,,159n,45w,16,CBD,48.59,-96.47,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,2.38,1.37,1.70,0.88,,,,
